adc ax,ax|6611c0
umov [rbp],dx|660f115500
umov [rbp],si|660f117500
umov [rbp],di|660f117d00
umov [rbp],sp|660f116500
umov [rbp],bp|660f116d00
umov [rbp],ah|0f106500
umov [rbp],al|0f104500
umov [rbp],bh|0f107d00
umov [rbp],bl|0f105d00
umov [rbp],ch|0f106d00
umov [rbp],cl|0f104d00
umov [rbp],dh|0f107500
umov [rbp],dl|0f105500
umov [rbp],eax|0f114500
umov [rbp],ebx|0f115d00
umov [rbp],ecx|0f114d00
umov [rbp],esi|0f117500
umov [rbp],edi|0f117d00
umov [rbp],ebp|0f116d00
umov [rbp],esp|0f116500
umov [rsp],ax|660f110424
umov [rsp],bx|660f111c24
umov [rsp],cx|660f110c24
umov [rsp],dx|660f111424
umov [rsp],si|660f113424
umov [rsp],di|660f113c24
umov [rsp],sp|660f112424
umov [rsp],bp|660f112c24
umov [rsp],ah|0f102424
umov [rsp],al|0f100424
umov [rsp],bh|0f103c24
umov [rsp],bl|0f101c24
umov [rsp],ch|0f102c24
umov [rsp],cl|0f100c24
umov [rsp],dh|0f103424
umov [rsp],dl|0f101424
umov [rsp],eax|0f110424
umov [rsp],ebx|0f111c24
umov [rsp],ecx|0f110c24
umov [rsp],esi|0f113424
umov [rsp],edi|0f113c24
umov [rsp],ebp|0f112c24
umov [rsp],esp|0f112424
verr ax | 0f00e0
verr bx | 0f00e3
verr cx | 0f00e1
verr dx | 0f00e2
verr si | 0f00e6
verr di | 0f00e7
verr sp | 0f00e4
verr bp | 0f00e5
verr [0x0] | 0f00242500000000
verr [ebx] | 670f0023
verr [esi] | 670f0026
verr [edi] | 670f0027
verr [ebp] | 670f006500
verr [esp] | 670f002424
verr [rbx] | 0f0023
verr [rsi] | 0f0026
verr [rdi] | 0f0027
verr [rbp] | 0f006500
verr [rsp] | 0f002424
verw ax | 0f00e8
verw bx | 0f00eb
verw cx | 0f00e9
verw dx | 0f00ea
verw si | 0f00ee
verw di | 0f00ef
verw sp | 0f00ec
verw bp | 0f00ed
verw [0x0] | 0f002c2500000000
verw [ebx] | 670f002b
verw [esi] | 670f002e
verw [edi] | 670f002f
verw [ebp] | 670f006d00
verw [esp] | 670f002c24
verw [rbx] | 0f002b
verw [rsi] | 0f002e
verw [rdi] | 0f002f
verw [rbp] | 0f006d00
verw [rsp] | 0f002c24
xadd ax,ax|660fc1c0
xadd ax,bx|660fc1d8
xadd ax,cx|660fc1c8
xadd ax,dx|660fc1d0
xadd ax,si|660fc1f0
xadd ax,di|660fc1f8
xadd ax,sp|660fc1e0
xadd ax,bp|660fc1e8
xadd bx,ax|660fc1c3
xadd bx,bx|660fc1db
xadd bx,cx|660fc1cb
xadd bx,dx|660fc1d3
xadd bx,si|660fc1f3
xadd bx,di|660fc1fb
xadd bx,sp|660fc1e3
xadd bx,bp|660fc1eb
xadd cx,ax|660fc1c1
xadd cx,bx|660fc1d9
xadd cx,cx|660fc1c9
xadd cx,dx|660fc1d1
xadd cx,si|660fc1f1
xadd cx,di|660fc1f9
xadd cx,sp|660fc1e1
xadd cx,bp|660fc1e9
xadd dx,ax|660fc1c2
xadd dx,bx|660fc1da
xadd dx,cx|660fc1ca
xadd dx,dx|660fc1d2
xadd dx,si|660fc1f2
xadd dx,di|660fc1fa
xadd dx,sp|660fc1e2
xadd dx,bp|660fc1ea
xadd si,ax|660fc1c6
xadd si,bx|660fc1de
xadd si,cx|660fc1ce
xadd si,dx|660fc1d6
xadd si,si|660fc1f6
xadd si,di|660fc1fe
xadd si,sp|660fc1e6
xadd si,bp|660fc1ee
xadd di,ax|660fc1c7
xadd di,bx|660fc1df
xadd di,cx|660fc1cf
xadd di,dx|660fc1d7
xadd di,si|660fc1f7
xadd di,di|660fc1ff
xadd di,sp|660fc1e7
xadd di,bp|660fc1ef
xadd sp,ax|660fc1c4
xadd sp,bx|660fc1dc
xadd sp,cx|660fc1cc
xadd sp,dx|660fc1d4
xadd sp,si|660fc1f4
xadd sp,di|660fc1fc
xadd sp,sp|660fc1e4
xadd sp,bp|660fc1ec
xadd bp,ax|660fc1c5
xadd bp,bx|660fc1dd
xadd bp,cx|660fc1cd
xadd bp,dx|660fc1d5
xadd bp,si|660fc1f5
xadd bp,di|660fc1fd
xadd bp,sp|660fc1e5
xadd bp,bp|660fc1ed
xadd ah,ah|0fc0e4
xadd ah,al|0fc0c4
xadd ah,bh|0fc0fc
xadd ah,bl|0fc0dc
xadd ah,ch|0fc0ec
xadd ah,cl|0fc0cc
xadd ah,dh|0fc0f4
xadd ah,dl|0fc0d4
xadd al,ah|0fc0e0
xadd al,al|0fc0c0
xadd al,bh|0fc0f8
xadd al,bl|0fc0d8
xadd al,ch|0fc0e8
xadd al,cl|0fc0c8
xadd al,dh|0fc0f0
xadd al,dl|0fc0d0
xadd bh,ah|0fc0e7
xadd bh,al|0fc0c7
xadd bh,bh|0fc0ff
xadd bh,bl|0fc0df
xadd bh,ch|0fc0ef
xadd bh,cl|0fc0cf
xadd bh,dh|0fc0f7
xadd bh,dl|0fc0d7
xadd bl,ah|0fc0e3
xadd bl,al|0fc0c3
xadd bl,bh|0fc0fb
xadd bl,bl|0fc0db
xadd bl,ch|0fc0eb
xadd bl,cl|0fc0cb
xadd bl,dh|0fc0f3
xadd bl,dl|0fc0d3
xadd ch,ah|0fc0e5
xadd ch,al|0fc0c5
xadd ch,bh|0fc0fd
xadd ch,bl|0fc0dd
xadd ch,ch|0fc0ed
xadd ch,cl|0fc0cd
xadd ch,dh|0fc0f5
xadd ch,dl|0fc0d5
xadd cl,ah|0fc0e1
xadd cl,al|0fc0c1
xadd cl,bh|0fc0f9
xadd cl,bl|0fc0d9
xadd cl,ch|0fc0e9
xadd cl,cl|0fc0c9
xadd cl,dh|0fc0f1
xadd cl,dl|0fc0d1
xadd dh,ah|0fc0e6
xadd dh,al|0fc0c6
xadd dh,bh|0fc0fe
xadd dh,bl|0fc0de
xadd dh,ch|0fc0ee
xadd dh,cl|0fc0ce
xadd dh,dh|0fc0f6
xadd dh,dl|0fc0d6
xadd dl,ah|0fc0e2
xadd dl,al|0fc0c2
xadd dl,bh|0fc0fa
xadd dl,bl|0fc0da
xadd dl,ch|0fc0ea
xadd dl,cl|0fc0ca
xadd dl,dh|0fc0f2
xadd dl,dl|0fc0d2
xadd [0x0],ax|660fc1042500000000
xadd [0x0],bx|660fc11c2500000000
xadd [0x0],cx|660fc10c2500000000
xadd [0x0],dx|660fc1142500000000
xadd [0x0],si|660fc1342500000000
xadd [0x0],di|660fc13c2500000000
xadd [0x0],sp|660fc1242500000000
xadd [0x0],bp|660fc12c2500000000
xadd [0x0],ah|0fc0242500000000
xadd [0x0],al|0fc0042500000000
xadd [0x0],bh|0fc03c2500000000
xadd [0x0],bl|0fc01c2500000000
xadd [0x0],ch|0fc02c2500000000
xadd [0x0],cl|0fc00c2500000000
xadd [0x0],dh|0fc0342500000000
xadd [0x0],dl|0fc0142500000000
xadd [0x0],eax|0fc1042500000000
xadd [0x0],ebx|0fc11c2500000000
xadd [0x0],ecx|0fc10c2500000000
xadd [0x0],esi|0fc1342500000000
xadd [0x0],edi|0fc13c2500000000
xadd [0x0],ebp|0fc12c2500000000
xadd [0x0],esp|0fc1242500000000
xadd [0x0],rax|480fc1042500000000
xadd [0x0],rbx|480fc11c2500000000
xadd [0x0],rcx|480fc10c2500000000
xadd [0x0],rsi|480fc1342500000000
xadd [0x0],rdi|480fc13c2500000000
xadd [0x0],rbp|480fc12c2500000000
xadd [0x0],rsp|480fc1242500000000
xadd eax,eax|0fc1c0
xadd eax,ebx|0fc1d8
xadd eax,ecx|0fc1c8
xadd eax,esi|0fc1f0
xadd eax,edi|0fc1f8
xadd eax,ebp|0fc1e8
xadd eax,esp|0fc1e0
xadd ebx,eax|0fc1c3
xadd ebx,ebx|0fc1db
xadd ebx,ecx|0fc1cb
xadd ebx,esi|0fc1f3
xadd ebx,edi|0fc1fb
xadd ebx,ebp|0fc1eb
xadd ebx,esp|0fc1e3
xadd ecx,eax|0fc1c1
xadd ecx,ebx|0fc1d9
xadd ecx,ecx|0fc1c9
xadd ecx,esi|0fc1f1
xadd ecx,edi|0fc1f9
xadd ecx,ebp|0fc1e9
xadd ecx,esp|0fc1e1
xadd esi,eax|0fc1c6
xadd esi,ebx|0fc1de
xadd esi,ecx|0fc1ce
xadd esi,esi|0fc1f6
xadd esi,edi|0fc1fe
xadd esi,ebp|0fc1ee
xadd esi,esp|0fc1e6
xadd edi,eax|0fc1c7
xadd edi,ebx|0fc1df
xadd edi,ecx|0fc1cf
xadd edi,esi|0fc1f7
xadd edi,edi|0fc1ff
xadd edi,ebp|0fc1ef
xadd edi,esp|0fc1e7
xadd ebp,eax|0fc1c5
xadd ebp,ebx|0fc1dd
xadd ebp,ecx|0fc1cd
xadd ebp,esi|0fc1f5
xadd ebp,edi|0fc1fd
xadd ebp,ebp|0fc1ed
xadd ebp,esp|0fc1e5
xadd esp,eax|0fc1c4
xadd esp,ebx|0fc1dc
xadd esp,ecx|0fc1cc
xadd esp,esi|0fc1f4
xadd esp,edi|0fc1fc
xadd esp,ebp|0fc1ec
xadd esp,esp|0fc1e4
xadd [ebx],ax|66670fc103
xadd [ebx],bx|66670fc11b
xadd [ebx],cx|66670fc10b
xadd [ebx],dx|66670fc113
xadd [ebx],si|66670fc133
xadd [ebx],di|66670fc13b
xadd [ebx],sp|66670fc123
xadd [ebx],bp|66670fc12b
xadd [ebx],ah|670fc023
xadd [ebx],al|670fc003
xadd [ebx],bh|670fc03b
xadd [ebx],bl|670fc01b
xadd [ebx],ch|670fc02b
xadd [ebx],cl|670fc00b
xadd [ebx],dh|670fc033
xadd [ebx],dl|670fc013
xadd [ebx],eax|670fc103
xadd [ebx],ebx|670fc11b
xadd [ebx],ecx|670fc10b
xadd [ebx],esi|670fc133
xadd [ebx],edi|670fc13b
xadd [ebx],ebp|670fc12b
xadd [ebx],esp|670fc123
xadd [ebx],rax|67480fc103
xadd [ebx],rbx|67480fc11b
xadd [ebx],rcx|67480fc10b
xadd [ebx],rsi|67480fc133
xadd [ebx],rdi|67480fc13b
xadd [ebx],rbp|67480fc12b
xadd [ebx],rsp|67480fc123
xadd [esi],ax|66670fc106
xadd [esi],bx|66670fc11e
xadd [esi],cx|66670fc10e
xadd [esi],dx|66670fc116
xadd [esi],si|66670fc136
xadd [esi],di|66670fc13e
xadd [esi],sp|66670fc126
xadd [esi],bp|66670fc12e
xadd [esi],ah|670fc026
xadd [esi],al|670fc006
xadd [esi],bh|670fc03e
xadd [esi],bl|670fc01e
xadd [esi],ch|670fc02e
xadd [esi],cl|670fc00e
xadd [esi],dh|670fc036
xadd [esi],dl|670fc016
xadd [esi],eax|670fc106
xadd [esi],ebx|670fc11e
xadd [esi],ecx|670fc10e
xadd [esi],esi|670fc136
xadd [esi],edi|670fc13e
xadd [esi],ebp|670fc12e
xadd [esi],esp|670fc126
xadd [esi],rax|67480fc106
xadd [esi],rbx|67480fc11e
xadd [esi],rcx|67480fc10e
xadd [esi],rsi|67480fc136
xadd [esi],rdi|67480fc13e
xadd [esi],rbp|67480fc12e
xadd [esi],rsp|67480fc126
xadd [edi],ax|66670fc107
xadd [edi],bx|66670fc11f
xadd [edi],cx|66670fc10f
xadd [edi],dx|66670fc117
xadd [edi],si|66670fc137
xadd [edi],di|66670fc13f
xadd [edi],sp|66670fc127
xadd [edi],bp|66670fc12f
xadd [edi],ah|670fc027
xadd [edi],al|670fc007
xadd [edi],bh|670fc03f
xadd [edi],bl|670fc01f
xadd [edi],ch|670fc02f
xadd [edi],cl|670fc00f
xadd [edi],dh|670fc037
xadd [edi],dl|670fc017
xadd [edi],eax|670fc107
xadd [edi],ebx|670fc11f
xadd [edi],ecx|670fc10f
xadd [edi],esi|670fc137
xadd [edi],edi|670fc13f
xadd [edi],ebp|670fc12f
xadd [edi],esp|670fc127
xadd [edi],rax|67480fc107
xadd [edi],rbx|67480fc11f
xadd [edi],rcx|67480fc10f
xadd [edi],rsi|67480fc137
xadd [edi],rdi|67480fc13f
xadd [edi],rbp|67480fc12f
xadd [edi],rsp|67480fc127
xadd [ebp],ax|66670fc14500
xadd [ebp],bx|66670fc15d00
xadd [ebp],cx|66670fc14d00
xadd [ebp],dx|66670fc15500
xadd [ebp],si|66670fc17500
xadd [ebp],di|66670fc17d00
xadd [ebp],sp|66670fc16500
xadd [ebp],bp|66670fc16d00
xadd [ebp],ah|670fc06500
xadd [ebp],al|670fc04500
xadd [ebp],bh|670fc07d00
xadd [ebp],bl|670fc05d00
xadd [ebp],ch|670fc06d00
xadd [ebp],cl|670fc04d00
xadd [ebp],dh|670fc07500
xadd [ebp],dl|670fc05500
xadd [ebp],eax|670fc14500
xadd [ebp],ebx|670fc15d00
xadd [ebp],ecx|670fc14d00
xadd [ebp],esi|670fc17500
xadd [ebp],edi|670fc17d00
xadd [ebp],ebp|670fc16d00
xadd [ebp],esp|670fc16500
xadd [ebp],rax|67480fc14500
xadd [ebp],rbx|67480fc15d00
xadd [ebp],rcx|67480fc14d00
xadd [ebp],rsi|67480fc17500
xadd [ebp],rdi|67480fc17d00
xadd [ebp],rbp|67480fc16d00
xadd [ebp],rsp|67480fc16500
xadd [esp],ax|66670fc10424
xadd [esp],bx|66670fc11c24
xadd [esp],cx|66670fc10c24
xadd [esp],dx|66670fc11424
xadd [esp],si|66670fc13424
xadd [esp],di|66670fc13c24
xadd [esp],sp|66670fc12424
xadd [esp],bp|66670fc12c24
xadd [esp],ah|670fc02424
xadd [esp],al|670fc00424
xadd [esp],bh|670fc03c24
xadd [esp],bl|670fc01c24
xadd [esp],ch|670fc02c24
xadd [esp],cl|670fc00c24
xadd [esp],dh|670fc03424
xadd [esp],dl|670fc01424
xadd [esp],eax|670fc10424
xadd [esp],ebx|670fc11c24
xadd [esp],ecx|670fc10c24
xadd [esp],esi|670fc13424
xadd [esp],edi|670fc13c24
xadd [esp],ebp|670fc12c24
xadd [esp],esp|670fc12424
xadd [esp],rax|67480fc10424
xadd [esp],rbx|67480fc11c24
xadd [esp],rcx|67480fc10c24
xadd [esp],rsi|67480fc13424
xadd [esp],rdi|67480fc13c24
xadd [esp],rbp|67480fc12c24
xadd [esp],rsp|67480fc12424
xadd rax,rax|480fc1c0
xadd rax,rbx|480fc1d8
xadd rax,rcx|480fc1c8
xadd rax,rsi|480fc1f0
xadd rax,rdi|480fc1f8
xadd rax,rbp|480fc1e8
xadd rax,rsp|480fc1e0
xadd rbx,rax|480fc1c3
xadd rbx,rbx|480fc1db
xadd rbx,rcx|480fc1cb
xadd rbx,rsi|480fc1f3
xadd rbx,rdi|480fc1fb
xadd rbx,rbp|480fc1eb
xadd rbx,rsp|480fc1e3
xadd rcx,rax|480fc1c1
xadd rcx,rbx|480fc1d9
xadd rcx,rcx|480fc1c9
xadd rcx,rsi|480fc1f1
xadd rcx,rdi|480fc1f9
xadd rcx,rbp|480fc1e9
xadd rcx,rsp|480fc1e1
xadd rsi,rax|480fc1c6
xadd rsi,rbx|480fc1de
xadd rsi,rcx|480fc1ce
xadd rsi,rsi|480fc1f6
xadd rsi,rdi|480fc1fe
xadd rsi,rbp|480fc1ee
xadd rsi,rsp|480fc1e6
xadd rdi,rax|480fc1c7
xadd rdi,rbx|480fc1df
xadd rdi,rcx|480fc1cf
xadd rdi,rsi|480fc1f7
xadd rdi,rdi|480fc1ff
xadd rdi,rbp|480fc1ef
xadd rdi,rsp|480fc1e7
xadd rbp,rax|480fc1c5
xadd rbp,rbx|480fc1dd
xadd rbp,rcx|480fc1cd
xadd rbp,rsi|480fc1f5
xadd rbp,rdi|480fc1fd
xadd rbp,rbp|480fc1ed
xadd rbp,rsp|480fc1e5
xadd rsp,rax|480fc1c4
xadd rsp,rbx|480fc1dc
xadd rsp,rcx|480fc1cc
xadd rsp,rsi|480fc1f4
xadd rsp,rdi|480fc1fc
xadd rsp,rbp|480fc1ec
xadd rsp,rsp|480fc1e4
xadd [rbx],ax|660fc103
xadd [rbx],bx|660fc11b
xadd [rbx],cx|660fc10b
xadd [rbx],dx|660fc113
xadd [rbx],si|660fc133
xadd [rbx],di|660fc13b
xadd [rbx],sp|660fc123
xadd [rbx],bp|660fc12b
xadd [rbx],ah|0fc023
xadd [rbx],al|0fc003
xadd [rbx],bh|0fc03b
xadd [rbx],bl|0fc01b
xadd [rbx],ch|0fc02b
xadd [rbx],cl|0fc00b
xadd [rbx],dh|0fc033
xadd [rbx],dl|0fc013
xadd [rbx],eax|0fc103
xadd [rbx],ebx|0fc11b
xadd [rbx],ecx|0fc10b
xadd [rbx],esi|0fc133
xadd [rbx],edi|0fc13b
xadd [rbx],ebp|0fc12b
xadd [rbx],esp|0fc123
xadd [rbx],rax|480fc103
xadd [rbx],rbx|480fc11b
xadd [rbx],rcx|480fc10b
xadd [rbx],rsi|480fc133
xadd [rbx],rdi|480fc13b
xadd [rbx],rbp|480fc12b
xadd [rbx],rsp|480fc123
xadd [rsi],ax|660fc106
xadd [rsi],bx|660fc11e
xadd [rsi],cx|660fc10e
xadd [rsi],dx|660fc116
xadd [rsi],si|660fc136
xadd [rsi],di|660fc13e
xadd [rsi],sp|660fc126
xadd [rsi],bp|660fc12e
xadd [rsi],ah|0fc026
xadd [rsi],al|0fc006
xadd [rsi],bh|0fc03e
xadd [rsi],bl|0fc01e
xadd [rsi],ch|0fc02e
xadd [rsi],cl|0fc00e
xadd [rsi],dh|0fc036
xadd [rsi],dl|0fc016
xadd [rsi],eax|0fc106
xadd [rsi],ebx|0fc11e
xadd [rsi],ecx|0fc10e
xadd [rsi],esi|0fc136
xadd [rsi],edi|0fc13e
xadd [rsi],ebp|0fc12e
xadd [rsi],esp|0fc126
xadd [rsi],rax|480fc106
xadd [rsi],rbx|480fc11e
xadd [rsi],rcx|480fc10e
xadd [rsi],rsi|480fc136
xadd [rsi],rdi|480fc13e
xadd [rsi],rbp|480fc12e
xadd [rsi],rsp|480fc126
xadd [rdi],ax|660fc107
xadd [rdi],bx|660fc11f
xadd [rdi],cx|660fc10f
xadd [rdi],dx|660fc117
xadd [rdi],si|660fc137
xadd [rdi],di|660fc13f
xadd [rdi],sp|660fc127
xadd [rdi],bp|660fc12f
xadd [rdi],ah|0fc027
xadd [rdi],al|0fc007
xadd [rdi],bh|0fc03f
xadd [rdi],bl|0fc01f
xadd [rdi],ch|0fc02f
xadd [rdi],cl|0fc00f
xadd [rdi],dh|0fc037
xadd [rdi],dl|0fc017
xadd [rdi],eax|0fc107
xadd [rdi],ebx|0fc11f
xadd [rdi],ecx|0fc10f
xadd [rdi],esi|0fc137
xadd [rdi],edi|0fc13f
xadd [rdi],ebp|0fc12f
xadd [rdi],esp|0fc127
xadd [rdi],rax|480fc107
xadd [rdi],rbx|480fc11f
xadd [rdi],rcx|480fc10f
xadd [rdi],rsi|480fc137
xadd [rdi],rdi|480fc13f
xadd [rdi],rbp|480fc12f
xadd [rdi],rsp|480fc127
xadd [rbp],ax|660fc14500
xadd [rbp],bx|660fc15d00
xadd [rbp],cx|660fc14d00
xadd [rbp],dx|660fc15500
xadd [rbp],si|660fc17500
xadd [rbp],di|660fc17d00
xadd [rbp],sp|660fc16500
xadd [rbp],bp|660fc16d00
xadd [rbp],ah|0fc06500
xadd [rbp],al|0fc04500
xadd [rbp],bh|0fc07d00
xadd [rbp],bl|0fc05d00
xadd [rbp],ch|0fc06d00
xadd [rbp],cl|0fc04d00
xadd [rbp],dh|0fc07500
xadd [rbp],dl|0fc05500
xadd [rbp],eax|0fc14500
xadd [rbp],ebx|0fc15d00
xadd [rbp],ecx|0fc14d00
xadd [rbp],esi|0fc17500
xadd [rbp],edi|0fc17d00
xadd [rbp],ebp|0fc16d00
xadd [rbp],esp|0fc16500
xadd [rbp],rax|480fc14500
xadd [rbp],rbx|480fc15d00
xadd [rbp],rcx|480fc14d00
xadd [rbp],rsi|480fc17500
xadd [rbp],rdi|480fc17d00
xadd [rbp],rbp|480fc16d00
xadd [rbp],rsp|480fc16500
xadd [rsp],ax|660fc10424
xadd [rsp],bx|660fc11c24
xadd [rsp],cx|660fc10c24
xadd [rsp],dx|660fc11424
xadd [rsp],si|660fc13424
xadd [rsp],di|660fc13c24
xadd [rsp],sp|660fc12424
xadd [rsp],bp|660fc12c24
xadd [rsp],ah|0fc02424
xadd [rsp],al|0fc00424
xadd [rsp],bh|0fc03c24
xadd [rsp],bl|0fc01c24
xadd [rsp],ch|0fc02c24
xadd [rsp],cl|0fc00c24
xadd [rsp],dh|0fc03424
xadd [rsp],dl|0fc01424
xadd [rsp],eax|0fc10424
xadd [rsp],ebx|0fc11c24
xadd [rsp],ecx|0fc10c24
xadd [rsp],esi|0fc13424
xadd [rsp],edi|0fc13c24
xadd [rsp],ebp|0fc12c24
xadd [rsp],esp|0fc12424
xadd [rsp],rax|480fc10424
xadd [rsp],rbx|480fc11c24
xadd [rsp],rcx|480fc10c24
xadd [rsp],rsi|480fc13424
xadd [rsp],rdi|480fc13c24
xadd [rsp],rbp|480fc12c24
xadd [rsp],rsp|480fc12424
xbts ax,ax|660fa6c0
xbts ax,bx|660fa6c3
xbts ax,cx|660fa6c1
xbts ax,dx|660fa6c2
xbts ax,si|660fa6c6
xbts ax,di|660fa6c7
xbts ax,sp|660fa6c4
xbts ax,bp|660fa6c5
xbts ax,[0x0]|660fa6042500000000
xbts ax,[ebx]|66670fa603
xbts ax,[esi]|66670fa606
xbts ax,[edi]|66670fa607
xbts ax,[ebp]|66670fa64500
xbts ax,[esp]|66670fa60424
xbts ax,[rbx]|660fa603
xbts ax,[rsi]|660fa606
xbts ax,[rdi]|660fa607
xbts ax,[rbp]|660fa64500
xbts ax,[rsp]|660fa60424
xbts bx,ax|660fa6d8
xbts bx,bx|660fa6db
xbts bx,cx|660fa6d9
xbts bx,dx|660fa6da
xbts bx,si|660fa6de
xbts bx,di|660fa6df
xbts bx,sp|660fa6dc
xbts bx,bp|660fa6dd
xbts bx,[0x0]|660fa61c2500000000
xbts bx,[ebx]|66670fa61b
xbts bx,[esi]|66670fa61e
xbts bx,[edi]|66670fa61f
xbts bx,[ebp]|66670fa65d00
xbts bx,[esp]|66670fa61c24
xbts bx,[rbx]|660fa61b
xbts bx,[rsi]|660fa61e
xbts bx,[rdi]|660fa61f
xbts bx,[rbp]|660fa65d00
xbts bx,[rsp]|660fa61c24
xbts cx,ax|660fa6c8
xbts cx,bx|660fa6cb
xbts cx,cx|660fa6c9
xbts cx,dx|660fa6ca
xbts cx,si|660fa6ce
xbts cx,di|660fa6cf
xbts cx,sp|660fa6cc
xbts cx,bp|660fa6cd
xbts cx,[0x0]|660fa60c2500000000
xbts cx,[ebx]|66670fa60b
xbts cx,[esi]|66670fa60e
xbts cx,[edi]|66670fa60f
xbts cx,[ebp]|66670fa64d00
xbts cx,[esp]|66670fa60c24
xbts cx,[rbx]|660fa60b
xbts cx,[rsi]|660fa60e
xbts cx,[rdi]|660fa60f
xbts cx,[rbp]|660fa64d00
xbts cx,[rsp]|660fa60c24
xbts dx,ax|660fa6d0
xbts dx,bx|660fa6d3
xbts dx,cx|660fa6d1
xbts dx,dx|660fa6d2
xbts dx,si|660fa6d6
xbts dx,di|660fa6d7
xbts dx,sp|660fa6d4
xbts dx,bp|660fa6d5
xbts dx,[0x0]|660fa6142500000000
xbts dx,[ebx]|66670fa613
xbts dx,[esi]|66670fa616
xbts dx,[edi]|66670fa617
xbts dx,[ebp]|66670fa65500
xbts dx,[esp]|66670fa61424
xbts dx,[rbx]|660fa613
xbts dx,[rsi]|660fa616
xbts dx,[rdi]|660fa617
xbts dx,[rbp]|660fa65500
xbts dx,[rsp]|660fa61424
xbts si,ax|660fa6f0
xbts si,bx|660fa6f3
xbts si,cx|660fa6f1
xbts si,dx|660fa6f2
xbts si,si|660fa6f6
xbts si,di|660fa6f7
xbts si,sp|660fa6f4
xbts si,bp|660fa6f5
xbts si,[0x0]|660fa6342500000000
xbts si,[ebx]|66670fa633
xbts si,[esi]|66670fa636
xbts si,[edi]|66670fa637
xbts si,[ebp]|66670fa67500
xbts si,[esp]|66670fa63424
xbts si,[rbx]|660fa633
xbts si,[rsi]|660fa636
xbts si,[rdi]|660fa637
xbts si,[rbp]|660fa67500
xbts si,[rsp]|660fa63424
xbts di,ax|660fa6f8
xbts di,bx|660fa6fb
xbts di,cx|660fa6f9
xbts di,dx|660fa6fa
xbts di,si|660fa6fe
xbts di,di|660fa6ff
xbts di,sp|660fa6fc
xbts di,bp|660fa6fd
xbts di,[0x0]|660fa63c2500000000
xbts di,[ebx]|66670fa63b
xbts di,[esi]|66670fa63e
xbts di,[edi]|66670fa63f
xbts di,[ebp]|66670fa67d00
xbts di,[esp]|66670fa63c24
xbts di,[rbx]|660fa63b
xbts di,[rsi]|660fa63e
xbts di,[rdi]|660fa63f
xbts di,[rbp]|660fa67d00
xbts di,[rsp]|660fa63c24
xbts sp,ax|660fa6e0
xbts sp,bx|660fa6e3
xbts sp,cx|660fa6e1
xbts sp,dx|660fa6e2
xbts sp,si|660fa6e6
xbts sp,di|660fa6e7
xbts sp,sp|660fa6e4
xbts sp,bp|660fa6e5
xbts sp,[0x0]|660fa6242500000000
xbts sp,[ebx]|66670fa623
xbts sp,[esi]|66670fa626
xbts sp,[edi]|66670fa627
xbts sp,[ebp]|66670fa66500
xbts sp,[esp]|66670fa62424
xbts sp,[rbx]|660fa623
xbts sp,[rsi]|660fa626
xbts sp,[rdi]|660fa627
xbts sp,[rbp]|660fa66500
xbts sp,[rsp]|660fa62424
xbts bp,ax|660fa6e8
xbts bp,bx|660fa6eb
xbts bp,cx|660fa6e9
xbts bp,dx|660fa6ea
xbts bp,si|660fa6ee
xbts bp,di|660fa6ef
xbts bp,sp|660fa6ec
xbts bp,bp|660fa6ed
xbts bp,[0x0]|660fa62c2500000000
xbts bp,[ebx]|66670fa62b
xbts bp,[esi]|66670fa62e
xbts bp,[edi]|66670fa62f
xbts bp,[ebp]|66670fa66d00
xbts bp,[esp]|66670fa62c24
xbts bp,[rbx]|660fa62b
xbts bp,[rsi]|660fa62e
xbts bp,[rdi]|660fa62f
xbts bp,[rbp]|660fa66d00
xbts bp,[rsp]|660fa62c24
xbts eax,[0x0]|0fa6042500000000
xbts eax,eax|0fa6c0
xbts eax,ebx|0fa6c3
xbts eax,ecx|0fa6c1
xbts eax,esi|0fa6c6
xbts eax,edi|0fa6c7
xbts eax,ebp|0fa6c5
xbts eax,esp|0fa6c4
xbts eax,[ebx]|670fa603
xbts eax,[esi]|670fa606
xbts eax,[edi]|670fa607
xbts eax,[ebp]|670fa64500
xbts eax,[esp]|670fa60424
xbts eax,[rbx]|0fa603
xbts eax,[rsi]|0fa606
xbts eax,[rdi]|0fa607
xbts eax,[rbp]|0fa64500
xbts eax,[rsp]|0fa60424
xbts ebx,[0x0]|0fa61c2500000000
xbts ebx,eax|0fa6d8
xbts ebx,ebx|0fa6db
xbts ebx,ecx|0fa6d9
xbts ebx,esi|0fa6de
xbts ebx,edi|0fa6df
xbts ebx,ebp|0fa6dd
xbts ebx,esp|0fa6dc
xbts ebx,[ebx]|670fa61b
xbts ebx,[esi]|670fa61e
xbts ebx,[edi]|670fa61f
xbts ebx,[ebp]|670fa65d00
xbts ebx,[esp]|670fa61c24
xbts ebx,[rbx]|0fa61b
xbts ebx,[rsi]|0fa61e
xbts ebx,[rdi]|0fa61f
xbts ebx,[rbp]|0fa65d00
xbts ebx,[rsp]|0fa61c24
xbts ecx,[0x0]|0fa60c2500000000
xbts ecx,eax|0fa6c8
xbts ecx,ebx|0fa6cb
xbts ecx,ecx|0fa6c9
xbts ecx,esi|0fa6ce
xbts ecx,edi|0fa6cf
xbts ecx,ebp|0fa6cd
xbts ecx,esp|0fa6cc
xbts ecx,[ebx]|670fa60b
